Input_1,Input_2,Input_3,Input_4,Input_5,Input_6,Input_7,Input_8,Input_9,Input_10,Output
70.0000,70.9451,70.9377,72.1092,74.5938,74.4425,74.2913,76.8601,78.2113,77.7071,78.7209
70.9451,70.9377,72.1092,74.5938,74.4425,74.2913,76.8601,78.2113,77.7071,78.7209,78.2258
70.9377,72.1092,74.5938,74.4425,74.2913,76.8601,78.2113,77.7071,78.7209,78.2258,77.7272
72.1092,74.5938,74.4425,74.2913,76.8601,78.2113,77.7071,78.7209,78.2258,77.7272,78.2901
74.5938,74.4425,74.2913,76.8601,78.2113,77.7071,78.7209,78.2258,77.7272,78.2901,75.6202
74.4425,74.2913,76.8601,78.2113,77.7071,78.7209,78.2258,77.7272,78.2901,75.6202,73.2328
74.2913,76.8601,78.2113,77.7071,78.7209,78.2258,77.7272,78.2901,75.6202,73.2328,72.5894
76.8601,78.2113,77.7071,78.7209,78.2258,77.7272,78.2901,75.6202,73.2328,72.5894,71.2702
78.2113,77.7071,78.7209,78.2258,77.7272,78.2901,75.6202,73.2328,72.5894,71.2702,71.9415
77.7071,78.7209,78.2258,77.7272,78.2901,75.6202,73.2328,72.5894,71.2702,71.9415,70.7795
78.7209,78.2258,77.7272,78.2901,75.6202,73.2328,72.5894,71.2702,71.9415,70.7795,68.8610
78.2258,77.7272,78.2901,75.6202,73.2328,72.5894,71.2702,71.9415,70.7795,68.8610,71.2595
77.7272,78.2901,75.6202,73.2328,72.5894,71.2702,71.9415,70.7795,68.8610,71.2595,71.1209
78.2901,75.6202,73.2328,72.5894,71.2702,71.9415,70.7795,68.8610,71.2595,71.1209,71.4221
75.6202,73.2328,72.5894,71.2702,71.9415,70.7795,68.8610,71.2595,71.1209,71.4221,69.4850
73.2328,72.5894,71.2702,71.9415,70.7795,68.8610,71.2595,71.1209,71.4221,69.4850,68.8684
72.5894,71.2702,71.9415,70.7795,68.8610,71.2595,71.1209,71.4221,69.4850,68.8684,69.2348
71.2702,71.9415,70.7795,68.8610,71.2595,71.1209,71.4221,69.4850,68.8684,69.2348,67.7083
71.9415,70.7795,68.8610,71.2595,71.1209,71.4221,69.4850,68.8684,69.2348,67.7083,68.4719
70.7795,68.8610,71.2595,71.1209,71.4221,69.4850,68.8684,69.2348,67.7083,68.4719,67.7709
68.8610,71.2595,71.1209,71.4221,69.4850,68.8684,69.2348,67.7083,68.4719,67.7709,67.5334
71.2595,71.1209,71.4221,69.4850,68.8684,69.2348,67.7083,68.4719,67.7709,67.5334,66.8308
71.1209,71.4221,69.4850,68.8684,69.2348,67.7083,68.4719,67.7709,67.5334,66.8308,69.8092
71.4221,69.4850,68.8684,69.2348,67.7083,68.4719,67.7709,67.5334,66.8308,69.8092,69.9890
69.4850,68.8684,69.2348,67.7083,68.4719,67.7709,67.5334,66.8308,69.8092,69.9890,68.6024
68.8684,69.2348,67.7083,68.4719,67.7709,67.5334,66.8308,69.8092,69.9890,68.6024,70.0363
69.2348,67.7083,68.4719,67.7709,67.5334,66.8308,69.8092,69.9890,68.6024,70.0363,68.4050
67.7083,68.4719,67.7709,67.5334,66.8308,69.8092,69.9890,68.6024,70.0363,68.4050,68.9183
68.4719,67.7709,67.5334,66.8308,69.8092,69.9890,68.6024,70.0363,68.4050,68.9183,66.1788
67.7709,67.5334,66.8308,69.8092,69.9890,68.6024,70.0363,68.4050,68.9183,66.1788,64.3865
67.5334,66.8308,69.8092,69.9890,68.6024,70.0363,68.4050,68.9183,66.1788,64.3865,64.8818
66.8308,69.8092,69.9890,68.6024,70.0363,68.4050,68.9183,66.1788,64.3865,64.8818,66.1895
69.8092,69.9890,68.6024,70.0363,68.4050,68.9183,66.1788,64.3865,64.8818,66.1895,66.6465
69.9890,68.6024,70.0363,68.4050,68.9183,66.1788,64.3865,64.8818,66.1895,66.6465,66.6731
68.6024,70.0363,68.4050,68.9183,66.1788,64.3865,64.8818,66.1895,66.6465,66.6731,66.4214
70.0363,68.4050,68.9183,66.1788,64.3865,64.8818,66.1895,66.6465,66.6731,66.4214,64.4036
68.4050,68.9183,66.1788,64.3865,64.8818,66.1895,66.6465,66.6731,66.4214,64.4036,63.5239
68.9183,66.1788,64.3865,64.8818,66.1895,66.6465,66.6731,66.4214,64.4036,63.5239,63.0329
66.1788,64.3865,64.8818,66.1895,66.6465,66.6731,66.4214,64.4036,63.5239,63.0329,64.8186
64.3865,64.8818,66.1895,66.6465,66.6731,66.4214,64.4036,63.5239,63.0329,64.8186,65.5340
64.8818,66.1895,66.6465,66.6731,66.4214,64.4036,63.5239,63.0329,64.8186,65.5340,63.0895
66.1895,66.6465,66.6731,66.4214,64.4036,63.5239,63.0329,64.8186,65.5340,63.0895,63.7756
66.6465,66.6731,66.4214,64.4036,63.5239,63.0329,64.8186,65.5340,63.0895,63.7756,63.3980
66.6731,66.4214,64.4036,63.5239,63.0329,64.8186,65.5340,63.0895,63.7756,63.3980,62.5826
66.4214,64.4036,63.5239,63.0329,64.8186,65.5340,63.0895,63.7756,63.3980,62.5826,63.7001
64.4036,63.5239,63.0329,64.8186,65.5340,63.0895,63.7756,63.3980,62.5826,63.7001,65.4466
63.5239,63.0329,64.8186,65.5340,63.0895,63.7756,63.3980,62.5826,63.7001,65.4466,67.0435
63.0329,64.8186,65.5340,63.0895,63.7756,63.3980,62.5826,63.7001,65.4466,67.0435,65.9847
64.8186,65.5340,63.0895,63.7756,63.3980,62.5826,63.7001,65.4466,67.0435,65.9847,65.7209
65.5340,63.0895,63.7756,63.3980,62.5826,63.7001,65.4466,67.0435,65.9847,65.7209,66.4178
63.0895,63.7756,63.3980,62.5826,63.7001,65.4466,67.0435,65.9847,65.7209,66.4178,68.0811
63.7756,63.3980,62.5826,63.7001,65.4466,67.0435,65.9847,65.7209,66.4178,68.0811,67.5623
63.3980,62.5826,63.7001,65.4466,67.0435,65.9847,65.7209,66.4178,68.0811,67.5623,67.4838
62.5826,63.7001,65.4466,67.0435,65.9847,65.7209,66.4178,68.0811,67.5623,67.4838,66.0243
63.7001,65.4466,67.0435,65.9847,65.7209,66.4178,68.0811,67.5623,67.4838,66.0243,64.4300
65.4466,67.0435,65.9847,65.7209,66.4178,68.0811,67.5623,67.4838,66.0243,64.4300,65.8488
67.0435,65.9847,65.7209,66.4178,68.0811,67.5623,67.4838,66.0243,64.4300,65.8488,68.0832
65.9847,65.7209,66.4178,68.0811,67.5623,67.4838,66.0243,64.4300,65.8488,68.0832,68.1751
65.7209,66.4178,68.0811,67.5623,67.4838,66.0243,64.4300,65.8488,68.0832,68.1751,69.8804
66.4178,68.0811,67.5623,67.4838,66.0243,64.4300,65.8488,68.0832,68.1751,69.8804,70.6229
68.0811,67.5623,67.4838,66.0243,64.4300,65.8488,68.0832,68.1751,69.8804,70.6229,69.8552
67.5623,67.4838,66.0243,64.4300,65.8488,68.0832,68.1751,69.8804,70.6229,69.8552,70.5973
67.4838,66.0243,64.4300,65.8488,68.0832,68.1751,69.8804,70.6229,69.8552,70.5973,73.1044
66.0243,64.4300,65.8488,68.0832,68.1751,69.8804,70.6229,69.8552,70.5973,73.1044,73.2506
64.4300,65.8488,68.0832,68.1751,69.8804,70.6229,69.8552,70.5973,73.1044,73.2506,75.7976
65.8488,68.0832,68.1751,69.8804,70.6229,69.8552,70.5973,73.1044,73.2506,75.7976,72.0680
68.0832,68.1751,69.8804,70.6229,69.8552,70.5973,73.1044,73.2506,75.7976,72.0680,73.5008
68.1751,69.8804,70.6229,69.8552,70.5973,73.1044,73.2506,75.7976,72.0680,73.5008,73.8314
69.8804,70.6229,69.8552,70.5973,73.1044,73.2506,75.7976,72.0680,73.5008,73.8314,73.5829
70.6229,69.8552,70.5973,73.1044,73.2506,75.7976,72.0680,73.5008,73.8314,73.5829,73.9205
69.8552,70.5973,73.1044,73.2506,75.7976,72.0680,73.5008,73.8314,73.5829,73.9205,71.1392
70.5973,73.1044,73.2506,75.7976,72.0680,73.5008,73.8314,73.5829,73.9205,71.1392,71.0097
73.1044,73.2506,75.7976,72.0680,73.5008,73.8314,73.5829,73.9205,71.1392,71.0097,71.7453
73.2506,75.7976,72.0680,73.5008,73.8314,73.5829,73.9205,71.1392,71.0097,71.7453,74.1622
75.7976,72.0680,73.5008,73.8314,73.5829,73.9205,71.1392,71.0097,71.7453,74.1622,73.5848
72.0680,73.5008,73.8314,73.5829,73.9205,71.1392,71.0097,71.7453,74.1622,73.5848,72.5720
73.5008,73.8314,73.5829,73.9205,71.1392,71.0097,71.7453,74.1622,73.5848,72.5720,72.0194
73.8314,73.5829,73.9205,71.1392,71.0097,71.7453,74.1622,73.5848,72.5720,72.0194,73.5925
73.5829,73.9205,71.1392,71.0097,71.7453,74.1622,73.5848,72.5720,72.0194,73.5925,74.2856
73.9205,71.1392,71.0097,71.7453,74.1622,73.5848,72.5720,72.0194,73.5925,74.2856,73.6910
71.1392,71.0097,71.7453,74.1622,73.5848,72.5720,72.0194,73.5925,74.2856,73.6910,74.6609
71.0097,71.7453,74.1622,73.5848,72.5720,72.0194,73.5925,74.2856,73.6910,74.6609,75.0065
71.7453,74.1622,73.5848,72.5720,72.0194,73.5925,74.2856,73.6910,74.6609,75.0065,76.6595
74.1622,73.5848,72.5720,72.0194,73.5925,74.2856,73.6910,74.6609,75.0065,76.6595,75.8064
73.5848,72.5720,72.0194,73.5925,74.2856,73.6910,74.6609,75.0065,76.6595,75.8064,75.5149
72.5720,72.0194,73.5925,74.2856,73.6910,74.6609,75.0065,76.6595,75.8064,75.5149,75.1267
72.0194,73.5925,74.2856,73.6910,74.6609,75.0065,76.6595,75.8064,75.5149,75.1267,73.1315
73.5925,74.2856,73.6910,74.6609,75.0065,76.6595,75.8064,75.5149,75.1267,73.1315,73.7756
74.2856,73.6910,74.6609,75.0065,76.6595,75.8064,75.5149,75.1267,73.1315,73.7756,74.3672
73.6910,74.6609,75.0065,76.6595,75.8064,75.5149,75.1267,73.1315,73.7756,74.3672,74.5749
74.6609,75.0065,76.6595,75.8064,75.5149,75.1267,73.1315,73.7756,74.3672,74.5749,74.4230
75.0065,76.6595,75.8064,75.5149,75.1267,73.1315,73.7756,74.3672,74.5749,74.4230,72.5000
76.6595,75.8064,75.5149,75.1267,73.1315,73.7756,74.3672,74.5749,74.4230,72.5000,72.0690
75.8064,75.5149,75.1267,73.1315,73.7756,74.3672,74.5749,74.4230,72.5000,72.0690,71.7549
75.5149,75.1267,73.1315,73.7756,74.3672,74.5749,74.4230,72.5000,72.0690,71.7549,70.7515
75.1267,73.1315,73.7756,74.3672,74.5749,74.4230,72.5000,72.0690,71.7549,70.7515,70.7096
73.1315,73.7756,74.3672,74.5749,74.4230,72.5000,72.0690,71.7549,70.7515,70.7096,71.5157
73.7756,74.3672,74.5749,74.4230,72.5000,72.0690,71.7549,70.7515,70.7096,71.5157,74.5449
74.3672,74.5749,74.4230,72.5000,72.0690,71.7549,70.7515,70.7096,71.5157,74.5449,75.0068
74.5749,74.4230,72.5000,72.0690,71.7549,70.7515,70.7096,71.5157,74.5449,75.0068,75.5931
74.4230,72.5000,72.0690,71.7549,70.7515,70.7096,71.5157,74.5449,75.0068,75.5931,75.6815
72.5000,72.0690,71.7549,70.7515,70.7096,71.5157,74.5449,75.0068,75.5931,75.6815,73.0033
72.0690,71.7549,70.7515,70.7096,71.5157,74.5449,75.0068,75.5931,75.6815,73.0033,73.1635
71.7549,70.7515,70.7096,71.5157,74.5449,75.0068,75.5931,75.6815,73.0033,73.1635,73.4539
70.7515,70.7096,71.5157,74.5449,75.0068,75.5931,75.6815,73.0033,73.1635,73.4539,77.3487
70.7096,71.5157,74.5449,75.0068,75.5931,75.6815,73.0033,73.1635,73.4539,77.3487,77.2602
71.5157,74.5449,75.0068,75.5931,75.6815,73.0033,73.1635,73.4539,77.3487,77.2602,77.9125
74.5449,75.0068,75.5931,75.6815,73.0033,73.1635,73.4539,77.3487,77.2602,77.9125,78.0605
75.0068,75.5931,75.6815,73.0033,73.1635,73.4539,77.3487,77.2602,77.9125,78.0605,76.5074
75.5931,75.6815,73.0033,73.1635,73.4539,77.3487,77.2602,77.9125,78.0605,76.5074,78.4217
75.6815,73.0033,73.1635,73.4539,77.3487,77.2602,77.9125,78.0605,76.5074,78.4217,79.7496
